eventid,iyear,imonth,iday,nkill
198902070004,1989,2,7,0
197403260002,1974,3,26,0
198104240001,1981,4,24,0
198507170009,1985,7,17,0
198105070009,1981,5,7,0
197805110002,1978,5,11,0
198103010006,1981,3,1,0
198812230004,1988,12,23,1
198805030006,1988,5,3,0
198903130003,1989,3,13,0
198110190029,1981,10,19,0
198801130005,1988,1,13,0
198706040006,1987,6,4,0
198811190003,1988,11,19,0
198904040007,1989,4,4,0
198106010004,1981,6,1,3
197811070006,1978,11,7,0
198207010003,1982,7,1,0
198105060003,1981,5,6,0
198812060009,1988,12,6,0
198501100002,1985,1,10,0
198202210002,1982,2,21,0
198812090002,1988,12,9,0
197408060002,1974,8,6,0
198004240002,1980,4,24,0
198810070003,1988,10,7,0
198507170018,1985,7,17,0
198711180004,1987,11,18,0
198403210002,1984,3,21,0
197603090001,1976,3,9,0
198111030003,1981,11,3,0
198707100002,1987,7,10,0
198806130012,1988,6,13,0
198809170004,1988,9,17,0
198004220003,1980,4,22,0
198212230003,1982,12,23,0
198904160011,1989,4,16,1
198309080004,1983,9,8,0
197809270001,1978,9,27,0
198712100011,1987,12,10,0
198805030009,1988,5,3,0
198611150003,1986,11,15,0
198505160007,1985,5,16,0
198905030003,1989,5,3,0
198303140004,1983,3,14,0
198104280004,1981,4,28,0
198911140006,1989,11,14,0
198201040002,1982,1,4,0
198712040002,1987,12,4,0
198902170008,1989,2,17,0
198205040004,1982,5,4,0
198802110009,1988,2,11,0
198505160023,1985,5,16,0
198711080004,1987,11,8,0
198011240002,1980,11,24,0
197806180001,1978,6,18,0
198809170003,1988,9,17,0
198506100004,1985,6,10,0
198812060005,1988,12,6,0
197902010005,1979,2,1,9
198105080002,1981,5,8,0
198501040001,1985,1,4,0
198211110003,1982,11,11,0
197907140003,1979,7,14,0
198701100002,1987,1,10,0
197803280001,1978,3,28,0
198707210010,1987,7,21,0
197811080007,1978,11,8,0
198810130002,1988,10,13,0
198912280003,1989,12,28,0
198804080003,1988,4,8,0
198602120004,1986,2,12,0
198008190007,1980,8,19,0
198507170015,1985,7,17,0
198212300002,1982,12,30,0
198707280010,1987,7,28,1
198902150011,1989,2,15,0
198205160004,1982,5,16,0
198806130005,1988,6,13,0
198107280002,1981,7,28,0
198803180003,1988,3,18,0
198804200002,1988,4,20,0
198902150014,1989,2,15,0
197706280002,1977,6,28,0
198803180006,1988,3,18,0
197905180002,1979,5,18,3
198805030003,1988,5,3,0
